Fold,Accuracy,Precision,Recall,F1-Score,ROC AUC,Specificity,Kappa,MCC,Confusion Matrix
1,0.9842365655537817,0.9829022358614643,0.985546490364327,0.9842225870742864,0.9992390513940536,0.9829324650771978,0.9684731631498126,0.9684766522018599,"[[56151,  975],
 [  822,56050]]"
2,0.9830258691018184,0.9822766595890291,0.9837439808794067,0.9830097726733925,0.9991256346085491,0.9823101847797531,0.9660517266074291,0.966052800800643,"[[56085, 1010],
 [  925,55977]]"
3,0.9830170969411476,0.9829965888218315,0.9831341742918628,0.9830653767428842,0.9991657395767454,0.982899366643209,0.9660339179756853,0.9660339274909868,"[[55868,  972],
 [  964,56193]]"
4,0.9839995789362878,0.9838508224118216,0.9840585575281966,0.9839546790056124,0.9992270400597179,0.9839409418515149,0.9679989076397224,0.9679989290926871,"[[56246,  918],
 [  906,55927]]"
5,0.9839557181329334,0.9833056260390235,0.9846668769494971,0.9839857807041353,0.9992168579613059,0.9832428729514676,0.9679113385947519,0.967912268280515,"[[55977,  954],
 [  875,56191]]"
6,0.984394326166478,0.9833012764469313,0.9855588075500797,0.9844287477352099,0.9992715151629104,0.983227370121887,0.968788541028803,0.9687910997298894,"[[55983,  955],
 [  824,56235]]"
7,0.9840522119003131,0.9833435825353597,0.9846930696553301,0.9840178634221816,0.9991950218082172,0.9834149755073478,0.9681042914078153,0.9681051978888386,"[[56212,  948],
 [  870,55967]]"
8,0.9835872873847558,0.98262240518525,0.9845713683914905,0.9835959213375768,0.9991810855316668,0.9826041209995616,0.9671745979298649,0.967176498594906,"[[56033,  992],
 [  879,56093]]"
9,0.9845083642551997,0.9828537505238162,0.9862634474541823,0.9845556468962622,0.9992428595613414,0.9827486253359802,0.9690165315824033,0.9690223783276187,"[[55941,  982],
 [  784,56290]]"
10,0.9836925533128065,0.9824512143759652,0.9848882008338757,0.9836681982306482,0.9991674222835171,0.9825034118346923,0.967385083990232,0.9673880439333081,"[[56154, 1000],
 [  859,55984]]"
Overall,0.9838469571685522,0.9829904161790493,0.9847124973898248,0.983850457382219,0.9992032227948023,0.982982433510261,0.967693809990652,0.9676957796341255,"[[56065. ,  970.6],
 [  870.8,56090.7]]"
