Local Epoch,Client,Accuracy,Precision,Recall,F1-Score,ROC AUC,Specificity,Kappa,MCC,Confusion Matrix
1,1,0.991799827,0.987835439,0.995863071,0.991833012,0.999764976,0.987736584,0.983599655,0.983632135,"[[93833, 1165],
 [  393,94605]]"
1,2,0.991899829,0.98775638,0.996147287,0.991934089,0.99975282,0.987652372,0.983799659,0.983835158,"[[93825, 1173],
 [  366,94632]]"
1,3,0.991941936,0.987614904,0.996378871,0.991977531,0.999779407,0.987505,0.983883871,0.983922612,"[[93811, 1187],
 [  344,94654]]"
,,,,,,,,,,
