Fold,Accuracy,Precision,Recall,F1-Score,ROC AUC,Specificity,Kappa,MCC,Confusion Matrix
1,0.9802803557957157,0.9845646157121567,0.9757701505134336,0.9801476562224027,0.9988703444137205,0.9847705072996534,0.9605597325911328,0.9605978861248898,"[[56256,  870],
 [ 1378,55494]]"
2,0.9794994605121188,0.9800468037935707,0.9788583881058662,0.979452235459621,0.9987663989133235,0.9801383658814257,0.958998719468169,0.9589994221587088,"[[55961, 1134],
 [ 1203,55699]]"
3,0.9804117652218918,0.9826362038664324,0.9782178910719597,0.9804220696669209,0.9988126565522324,0.9826178747361013,0.9608237187054303,0.9608334855788884,"[[55852,  988],
 [ 1245,55912]]"
4,0.981148626718247,0.9820181933573091,0.9801347808491545,0.981075583187298,0.9988918987891711,0.9821566020572389,0.9622967262156704,0.9622984858340604,"[[56144, 1020],
 [ 1129,55704]]"
5,0.9804468538645754,0.9842119205298013,0.9766060351172327,0.98039422645592,0.9988485592058981,0.9842967803130105,0.9608940111956796,0.9609227724998217,"[[56037,  894],
 [ 1335,55731]]"
6,0.9816135512338044,0.9840934312741109,0.9790918172418024,0.9815862529430368,0.9989070972963372,0.984140644209491,0.9632272596258669,0.9632397269322116,"[[56035,  903],
 [ 1193,55866]]"
7,0.9798328026176127,0.9831844921681197,0.9762478667065468,0.9797039011944594,0.998766133219309,0.9833974807557733,0.9596644773734233,0.95968822891083,"[[56211,  949],
 [ 1350,55487]]"
8,0.9802977271331702,0.9837187102248621,0.9767429614547497,0.9802184252245905,0.9988174533569534,0.983849188952214,0.9605953158969502,0.9606194463657834,"[[56104,  921],
 [ 1325,55647]]"
9,0.9810082721475126,0.985344812346421,0.9765917931106984,0.9809487772898866,0.9988913313636408,0.9854364668060362,0.9620169251775237,0.9620549843064427,"[[56094,  829],
 [ 1336,55738]]"
10,0.9807626516487276,0.9831836186164945,0.9781503439297715,0.9806605229507473,0.9988768782060125,0.9833607446547923,0.9615244810368387,0.9615370129255133,"[[56203,  951],
 [ 1242,55601]]"
Overall,0.9805302066893375,0.9833002801889279,0.9776412028101216,0.9804609650594884,0.9988448751316599,0.9834164655665736,0.9610601367286687,0.961079145163715,"[[56089.7,  945.9],
 [ 1273.6,55687.9]]"
